customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,rfm_segment,cluster
1,256,1,232.53000000000003,3,1,3,313,Potential Customers,4
5,707,1,135.5,1,1,2,112,Potential Customers,3
7,690,2,349.72,1,4,4,144,Potential Customers,0
8,612,1,177.46,1,1,3,113,Potential Customers,3
10,356,1,255.64,3,1,3,313,Potential Customers,4
12,38,3,335.62,5,5,4,554,Loyal Customers,1
13,406,1,188.73,2,1,3,213,Potential Customers,3
15,76,2,433.38,5,4,4,544,Potential Customers,1
17,452,1,115.59,2,1,2,212,Potential Customers,3
19,200,2,844.15,4,4,5,445,Potential Customers,2
20,205,3,872.96,4,5,5,455,Loyal Customers,2
24,88,1,425.18999999999994,5,1,4,514,Potential Customers,4
27,345,1,154.1,3,1,2,312,Potential Customers,4
28,135,1,607.16,4,1,5,415,Potential Customers,4
29,488,1,130.44,2,1,2,212,Potential Customers,3
30,50,1,51.48,5,1,1,511,Potential Customers,4
33,252,1,447.70000000000005,3,1,4,314,Potential Customers,4
37,146,3,1053.8899999999999,4,5,5,455,Loyal Customers,2
38,167,2,292.93,4,4,4,444,Potential Customers,1
39,573,1,431.94,1,1,4,114,Potential Customers,0
44,20,2,455.35,5,4,4,544,Potential Customers,1
47,326,1,16.72,3,1,1,311,Potential Customers,4
49,355,2,608.35,3,4,5,345,Potential Customers,0
51,584,1,120.85000000000001,1,1,2,112,Potential Customers,3
52,430,1,348.33,2,1,4,214,Potential Customers,3
53,204,3,594.77,4,5,5,455,Loyal Customers,2
54,362,1,324.96,3,1,4,314,Potential Customers,4
55,307,2,329.52,3,4,4,344,Potential Customers,1
56,619,1,568.3,1,1,5,115,Potential Customers,0
57,22,4,202.89,5,5,3,553,Potential Customers,1
59,68,2,240.51000000000002,5,4,3,543,Potential Customers,1
60,16,2,348.89,5,4,4,544,Potential Customers,1
62,117,1,279.15,4,1,3,413,Potential Customers,4
63,688,1,200.6,1,1,3,113,Potential Customers,3
64,187,1,191.0,4,1,3,413,Potential Customers,4
65,332,1,620.04,3,1,5,315,Potential Customers,0
66,99,3,620.01,5,5,5,555,High Value Customers,2
68,590,1,71.08,1,1,1,111,Lost Customers,3
71,672,1,276.4,1,1,3,113,Potential Customers,3
73,163,2,324.51,4,4,4,444,Potential Customers,1
74,315,1,160.75,3,1,2,312,Potential Customers,4
76,63,1,109.05000000000001,5,1,2,512,Potential Customers,4
77,107,1,141.6,5,1,2,512,Potential Customers,4
78,693,1,607.25,1,1,5,115,Potential Customers,0
79,581,1,31.56,1,1,1,111,Lost Customers,3
80,696,1,77.31,1,1,1,111,Lost Customers,3
81,250,1,48.5,3,1,1,311,Potential Customers,4
83,518,1,141.6,2,1,2,212,Potential Customers,3
85,287,1,32.69,3,1,1,311,Potential Customers,4
86,46,2,78.21000000000001,5,4,1,541,Potential Customers,1
88,315,1,105.92,3,1,2,312,Potential Customers,4
89,37,3,509.36,5,5,5,555,High Value Customers,1
