customer_id,transaction_id,product_category,purchase_amount,purchase_date,payment_method,city,gender,age,quantity,frequency,recency,revenue,month,age_group
1072,TXN1000000,Home,78.5,2023-09-05,Cash,Delhi,Female,52,5,1,482,392.5,2023-09,45-54
9288,TXN1000001,Home,185.08,2023-06-09,Wallet,Hyderabad,Male,48,3,2,560,555.24,2023-06,45-54
7855,TXN1000002,Grocery,63.08,2024-01-15,Cash,Chennai,Male,47,4,2,18,252.32,2024-01,45-54
5267,TXN1000003,Electronics,85.77,2024-04-28,UPI,Mumbai,Male,40,2,2,77,171.54,2024-04,35-44
5197,TXN1000004,Grocery,14.99,2023-07-10,Cash,Pune,Male,58,5,1,539,74.95,2023-07,55-70
10304,TXN1000005,Electronics,123.9,2024-07-13,UPI,Delhi,Male,67,1,1,170,123.9,2024-07,55-70
1032,TXN1000006,Grocery,53.22,2024-04-11,Wallet,Chennai,Female,36,2,3,137,106.44,2024-04,35-44
8369,TXN1000007,Sports,20.85,2023-05-02,Card,Bengaluru,Female,35,1,2,381,20.85,2023-05,35-44
2418,TXN1000008,Grocery,120.9,2024-11-16,Card,Bengaluru,Male,58,5,2,44,604.5,2024-11,55-70
1131,TXN1000009,Grocery,54.87,2023-02-02,Wallet,Delhi,Male,23,4,2,361,219.48,2023-02,18-24
6318,TXN1000010,Home,108.49,2024-04-22,Wallet,Pune,Male,42,2,3,252,216.98,2024-04,35-44
11708,TXN1000011,Fashion,197.64,2023-11-17,Card,Mumbai,Female,70,5,3,375,988.1999999999999,2023-11,55-70
8830,TXN1000012,Electronics,16.54,2024-04-22,Card,Bengaluru,Female,54,4,1,252,66.16,2024-04,45-54
9134,TXN1000013,Electronics,32.39,2024-07-19,Cash,Mumbai,Male,29,4,2,164,129.56,2024-07,25-34
8610,TXN1000014,Sports,96.3,2024-05-16,Card,Mumbai,Female,39,3,2,203,288.9,2024-05,35-44
9433,TXN1000015,Electronics,57.53,2024-04-20,Cash,Delhi,Male,68,2,1,254,115.06,2024-04,55-70
6159,TXN1000016,Fashion,5.77,2024-09-05,Card,Hyderabad,Female,45,5,1,116,28.849999999999998,2024-09,45-54
1538,TXN1000017,Home,43.7,2024-05-27,UPI,Pune,Male,62,1,1,217,43.7,2024-05,55-70
10077,TXN1000018,Grocery,49.03,2024-08-17,Card,Bengaluru,Female,61,2,2,68,98.06,2024-08,55-70
5405,TXN1000019,Home,54.92,2023-10-22,Wallet,Pune,Female,59,2,1,435,109.84,2023-10,55-70
6005,TXN1000020,Electronics,31.45,2023-05-29,Wallet,Chennai,Female,52,4,1,581,125.8,2023-05,45-54
4450,TXN1000021,Grocery,144.07,2023-06-21,Wallet,Delhi,Female,25,5,1,558,720.3499999999999,2023-06,25-34
2191,TXN1000022,Grocery,15.01,2024-03-22,Wallet,Mumbai,Male,33,5,2,22,75.05,2024-03,25-34
11122,TXN1000023,Sports,74.73,2024-01-24,Wallet,Chennai,Male,19,2,2,117,149.46,2024-01,18-24
9379,TXN1000024,Grocery,37.82,2023-02-26,Card,Chennai,Female,41,3,2,673,113.46000000000001,2023-02,35-44
7727,TXN1000025,Electronics,35.75,2023-05-30,UPI,Bengaluru,Female,27,3,1,580,107.25,2023-05,25-34
4829,TXN1000026,Sports,132.11,2024-12-07,Card,Chennai,Female,49,5,2,23,660.5500000000001,2024-12,45-54
9874,TXN1000027,Electronics,47.14,2024-06-14,Wallet,Chennai,Female,39,5,1,199,235.7,2024-06,35-44
6546,TXN1000028,Beauty,75.01,2024-07-05,UPI,Mumbai,Male,67,2,1,178,150.02,2024-07,55-70
5321,TXN1000029,Home,100.58,2023-05-24,Card,Chennai,Female,59,5,1,586,502.9,2023-05,55-70
5406,TXN1000030,Fashion,59.41,2023-02-16,Cash,Mumbai,Female,29,5,2,476,297.04999999999995,2023-02,25-34
2727,TXN1000031,Home,133.28,2023-08-01,UPI,Hyderabad,Male,38,2,1,517,266.56,2023-08,35-44
1106,TXN1000032,Home,19.01,2024-09-17,Card,Pune,Male,40,4,1,104,76.04,2024-09,35-44
6656,TXN1000033,Electronics,78.13,2024-01-05,Card,Bengaluru,Male,19,5,2,237,390.65,2024-01,18-24
10655,TXN1000034,Sports,186.32,2024-07-26,UPI,Chennai,Male,56,2,1,157,372.64,2024-07,55-70
766,TXN1000035,Sports,73.73,2023-12-22,Cash,Chennai,Female,21,2,1,374,147.46,2023-12,18-24
10300,TXN1000036,Beauty,11.91,2023-12-24,Card,Delhi,Female,61,5,2,82,59.55,2023-12,55-70
9932,TXN1000037,Fashion,79.99,2024-03-14,UPI,Delhi,Female,42,5,1,291,399.95,2024-03,35-44
3322,TXN1000038,Fashion,147.79,2024-12-01,UPI,Delhi,Female,42,5,1,29,738.9499999999999,2024-12,35-44
7580,TXN1000039,Fashion,44.13,2023-11-16,Wallet,Mumbai,Female,19,2,3,30,88.26,2023-11,18-24
1983,TXN1000040,Electronics,43.72,2024-03-10,Wallet,Chennai,Female,51,2,1,295,87.44,2024-03,45-54
9098,TXN1000041,Fashion,93.76,2024-11-02,UPI,Chennai,Male,58,1,2,58,93.76,2024-11,55-70
8407,TXN1000042,Fashion,82.8,2023-09-29,Cash,Hyderabad,Male,39,4,1,458,331.2,2023-09,35-44
4255,TXN1000043,Home,60.95,2024-09-05,Card,Delhi,Female,30,5,1,116,304.75,2024-09,25-34
816,TXN1000044,Grocery,33.27,2024-01-26,UPI,Pune,Male,70,5,1,339,166.35000000000002,2024-01,55-70
11649,TXN1000045,Fashion,40.59,2024-10-03,Card,Delhi,Male,43,3,2,88,121.77000000000001,2024-10,35-44
5349,TXN1000046,Fashion,25.88,2023-12-08,UPI,Pune,Female,52,1,3,168,25.88,2023-12,45-54
10718,TXN1000047,Grocery,10.65,2024-04-04,UPI,Hyderabad,Female,59,5,2,68,53.25,2024-04,55-70
8136,TXN1000048,Sports,123.96,2023-08-24,Cash,Mumbai,Male,49,5,3,76,619.8,2023-08,45-54
9341,TXN1000049,Home,97.13,2024-04-08,Wallet,Chennai,Female,47,2,3,266,194.26,2024-04,45-54
9119,TXN1000050,Electronics,90.85,2023-08-27,Card,Delhi,Female,54,4,1,491,363.4,2023-08,45-54
2336,TXN1000051,Electronics,89.72,2024-03-20,Wallet,Hyderabad,Female,64,2,3,141,179.44,2024-03,55-70
4367,TXN1000052,Home,50.18,2024-07-29,Cash,Hyderabad,Female,54,5,1,154,250.9,2024-07,45-54
5601,TXN1000053,Grocery,45.38,2023-11-14,Card,Chennai,Male,62,3,2,412,136.14000000000001,2023-11,55-70
5974,TXN1000054,Beauty,21.03,2023-11-10,Wallet,Delhi,Female,32,5,1,416,105.15,2023-11,25-34
526,TXN1000055,Electronics,102.52,2023-08-24,UPI,Mumbai,Female,27,4,1,494,410.08,2023-08,25-34
6559,TXN1000056,Electronics,255.75,2024-06-17,Cash,Bengaluru,Male,23,4,1,196,1023.0,2024-06,18-24
1852,TXN1000057,Grocery,77.69,2024-03-08,UPI,Hyderabad,Female,19,1,4,202,77.69,2024-03,18-24
8921,TXN1000058,Home,112.24,2024-01-13,Wallet,Delhi,Female,41,3,1,352,336.71999999999997,2024-01,35-44
8197,TXN1000059,Sports,112.52,2023-01-19,Wallet,Hyderabad,Female,63,4,2,195,450.08,2023-01,55-70
11071,TXN1000060,Beauty,153.93,2023-03-22,UPI,Chennai,Female,21,3,1,649,461.79,2023-03,18-24
8938,TXN1000061,Fashion,29.89,2023-01-06,UPI,Mumbai,Male,52,2,3,247,59.78,2023-01,45-54
4400,TXN1000062,Beauty,15.26,2024-09-12,Cash,Hyderabad,Male,60,3,2,109,45.78,2024-09,55-70
11611,TXN1000063,Electronics,67.37,2024-09-13,Cash,Mumbai,Male,66,2,1,108,134.74,2024-09,55-70
4931,TXN1000064,Fashion,53.58,2023-02-19,UPI,Pune,Male,60,5,1,680,267.9,2023-02,55-70
3910,TXN1000065,Sports,242.18,2023-02-03,UPI,Bengaluru,Male,22,1,2,266,242.18,2023-02,18-24
10867,TXN1000066,Grocery,26.22,2024-07-24,Card,Mumbai,Female,26,2,2,159,52.44,2024-07,25-34
4446,TXN1000067,Sports,184.59,2024-01-19,UPI,Mumbai,Male,70,1,2,346,184.59,2024-01,55-70
917,TXN1000068,Grocery,53.96,2023-08-14,Cash,Mumbai,Female,22,2,2,504,107.92,2023-08,18-24
5635,TXN1000069,Electronics,23.68,2024-03-24,Wallet,Pune,Male,70,2,3,281,47.36,2024-03,55-70
9549,TXN1000070,Fashion,163.31,2023-06-22,UPI,Delhi,Male,67,5,2,557,816.55,2023-06,55-70
2274,TXN1000071,Sports,30.28,2023-05-25,Cash,Mumbai,Male,32,4,3,461,121.12,2023-05,25-34
5556,TXN1000072,Grocery,112.68,2023-09-26,Wallet,Mumbai,Male,60,1,1,461,112.68,2023-09,55-70
1560,TXN1000073,Beauty,68.73,2024-10-15,UPI,Pune,Male,21,3,1,76,206.19,2024-10,18-24
8238,TXN1000074,Electronics,184.17,2024-07-14,Card,Hyderabad,Female,24,1,2,169,184.17,2024-07,18-24
5709,TXN1000075,Home,128.68,2023-05-19,Card,Chennai,Male,37,1,1,591,128.68,2023-05,35-44
3963,TXN1000076,Fashion,52.95,2024-02-15,Wallet,Hyderabad,Female,30,3,3,158,158.85000000000002,2024-02,25-34
2723,TXN1000077,Electronics,163.85,2024-10-07,Card,Pune,Male,41,3,1,84,491.54999999999995,2024-10,35-44
6774,TXN1000078,Home,84.32,2024-11-25,Card,Chennai,Male,32,1,1,35,84.32,2024-11,25-34
8038,TXN1000079,Home,62.12,2024-07-10,UPI,Pune,Female,32,5,1,173,310.59999999999997,2024-07,25-34
11284,TXN1000080,Fashion,67.7,2023-04-05,Wallet,Pune,Male,36,5,2,335,338.5,2023-04,35-44
